,number,author,life,title,width,height,image_url,wall,position,image_path
1649,1738 ,Zurbaran francisco de, (1598-1664). ,saint bonaventure présidant un chapitre des frères mineurs,,,,S,VI tr D,
1650,1739 ,Zurbaran francisco de, (1598-1664). ,funérailles de saint bonaventure,,,,S,VI tr D,
1651,1740 ,Zurbaran francisco de, (1598-1664). ,sainte apolline,67.0,134.0,https://upload.wikimedia.org/wikipedia/commons/d/d7/Francisco_de_Zurbar%C3%A1n_035.jpg,,Musée Charles X S III,data/images_paintings/1651.jpg
1652,1802 ,Bonington richard parkes, (1801-1828). ,françois 1er et la duchesse d'etampes,,,,,A,
1653,1803 ,Bonington richard parkes, (1801-1828). ,anne d'autriche et mazarin,27.0,35.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE021202/94de53021.jpg,,A,data/images_paintings/1653.jpg
1654,1804 ,Bonington richard parkes, (1801-1828). ,vue du parterre d'eau à versailles,,,,,A,data/images_paintings/1654.jpg
1655,1804 a ,Bonington richard parkes, (1801-1828). ,vue des côtes normandes esquisse,,,,,A,
1656,1805 ,Bonington richard parkes, (1801-1828). ,vue de venise,54.0,41.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE021201/07-524412.jpg,,A,data/images_paintings/1656.jpg
1657,1805 a ,Bonington richard parkes, (1801-1828). ,la vieille gouvernante a,63.5,76.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE021203/99de63.jpg,,II,data/images_paintings/1657.jpg
1658,S No ,Bonington richard parkes, (1801-1828). ,monument de b colleoni sur la place san giovanni e paolo à venise aquarelle a,,,,,II,
1659,S No ,Bonington richard parkes, (1801-1828). ,l'odalisque aux palmiers aqùarelle a,,,,,II,
1660,1806 ,Constable john, (1776-1837). ,le cottage,,,,,A,
1661,1807 ,Constable john, (1776-1837). ,l'arc en ciel vue de salisbury attribué,,,,,A,
1662,1808 ,Constable john, (1776-1837). ,la baie de weymouth à l'approche de l'orage,112.0,88.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/La_Baie_de_Weymouth_%C3%A0_l%27approche_de_l%27orage_%E2%80%93_John_Constable_%E2%80%93_Mus%C3%A9e_du_Louvre%2C_RF_39_%E2%80%93_Q27097977.jpg/1200px-La_Baie_de_Weymouth_%C3%A0_l%27approche_de_l%27orage_%E2%80%93_John_Constable_%E2%80%93_Mus%C3%A9e_du_Louvre%2C_RF_39_%E2%80%93_Q27097977.jpg,,A,data/images_paintings/1662.jpg
1663,1809 ,Constable john, (1776-1837). ,vue de hampstead heath effet d'orage esquisse,,,,,A,
1664,1810 ,Constable john, (1776-1837). ,paysage the glebe farm attribué,,,,,A,
1665,1810 a ,Constable john, (1776-1837). ,le moulin attribué peut être d'après,,,,,A,
1666,1810 b ,Etty william, (1787-1849). ,etude de femme nue dans un paysage,,,,,A,
1667,1811 ,Gainsborough thomas, (1727-1788). ,trophées de chasse et de pêche a,,,,,II,
1668,1811 a ,Gainsborough thomas, (1727-1788). ,paysage la charrette attribué,,,,,A,
1669,1811 b ,Gainsborough thomas, (1727-1788). ,paysage la croix du carrefour attribué,,,,,A,
1670,1812 ,Hodges charles howard, (1764-1837). ,portrait de femme a,60.0,73.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Portret_van_een_vrouw_Rijksmuseum_SK-A-2268.jpeg/1200px-Portret_van_een_vrouw_Rijksmuseum_SK-A-2268.jpeg,,II,data/images_paintings/1670.jpg
1671,1812 a ,Hoppner john, (17 5 8 - 18 10). ,portrait de la comtesse d'oxford a,63.5,77.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE021184/94de15122.jpg,,II,data/images_paintings/1671.jpg
1672,1812 b ,Hoppner john, (17 5 8 - 18 10). ,portraits d'une jeune femme et d'un jeune garçon a ii 181 a lawrence,,,,,Musée Charles X S III,
1673,1813 ,Lawrence sir thomas, (1769-1830). ,portrait de lord whitworth ambassadeur d'angleterre en france en 1802 vice roi d'irlande etc a,,,,,II,
1674,S No ,Lawrence sir thomas, (1769-1830). ,portrait de mme ducrest de villeneuve née sophie duvaucel dessin rehaussé reproduit,,,,,A,
1675,1813 a ,Lawrence sir thomas, (1769-1830). ,portrait de mr john julius angerstein et de sa femme,,,,,A,
1676,1813 b ,Lawrence sir thomas, (1769-1830). ,portrait de mary palmer comtesse d'inchiquin,,,,,A,
1677,1813 c ,Lawrence sir thomas, (1769-1830). ,portrait d'homme a,64.5,76.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE021118/23618.jpg,,II,data/images_paintings/1677.jpg
1678,1814 ,Morland george, (1763-1804). ,la halte attribué,,,,,A,
1679,1814 a ,Morland george, (1763-1804). ,intérieur d'écurie,88.0,67.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE021175/7721.jpg,,A,data/images_paintings/1679.jpg
1680,1815 ,Mulready william, (1786-1863). ,l'abreuvoir,45.0,37.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE021164/98de25054.jpg,,A,data/images_paintings/1680.jpg
1681,1816 ,Opie john, (1761-1807;. ,la femme en blanc attr a,,,,,II,
1682,1817 ,Reaburn sir henry, (1756-1823). ,portrait d'un invalide de la,,,,,Marine,
1683,1817 a ,Reaburn sir henry, (1756-1823). ,portrait présumé d'hannah more a,,,,,II,
1684,1817 b ,Reaburn sir henry, (1756-1823). ,portraits de mrs allan maconochie ofmeadowbank et d'un enfant attribué a,,,,,II,
1685,1817 c ,Reaburn sir henry, (1756-1823). ,portrait du capitaine robert hay of spot,,,,,A,
1686,1818 ,Ramsay allan, (1713-1784). ,portrait de charlottesophie de mecklembourg strelitz princesse de galles,,,,,A,
1687,1818 a ,Reynolds sir joshua, (I 723 - 1 792). ,portrait de femme attribué,,,,,A,
1688,1818 b ,Reynolds sir joshua, (I 723 - 1 792). ,portrait de master hare francis george hare cnfant,,,,,A,data/images_paintings/1688.jpg
1689,1818 c ,Romney, George.(1734-1802). ,portrait de sir john stanley,,,,,A,
1690,1818 d ,Romney, George.(1734-1802). ,portrait de l'artiste a,80.0,106.0,https://upload.wikimedia.org/wikipedia/commons/a/a3/George_Romney_-_Portrait_de_l%27artiste.jpg,,II,data/images_paintings/1690.jpg
1691,S No ,Russell john, (1745-1806). ,l'enfant aux cerises pastel reproduit,,,,,A,
1692,1819 ,Turner joseph mallord william, (1775-1851). ,le pont neuf à paris ecole de,,,,,A,
1693,1819 j ,Turner joseph mallord william, (1775-1851). ,l'estuaire de la tamise et la medway attribué a,,,,,II,
1694,1819 b ,Wilson richard, (171.1-1782). ,paysage attribué,,,,,A,
1695,1901 ,Arthois ou artois, (1613-1686). ,entrée d'un bois,,,,,XX,
1696,1902 ,Baellieur cornelis de, (1607-1671). ,une galerie d'objets d'art en 1637,,,,,XXXIV,data/images_paintings/1696.jpg
1697,S N ,Benson ambroise, (travaillait vers 1519-1545). ,le concert après le repas ecole de,,,,,XXXI,
1698,1903 ,Bloemen jan frans van, (1662-1740 ou 1748). ,paysage,34.0,27.8,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Italiaans_landschap_Rijksmuseum_SK-A-3478.jpeg/1200px-Italiaans_landschap_Rijksmuseum_SK-A-3478.jpeg,,XXXIV,data/images_paintings/1698.jpg
1699,1903 a ,Boucquet victor, ('1619-1677). ,le porte étendard d'une compagnie d'archers,,,,N,VI tr E,
1700,1904 b ,Bouts dierick ou dirk, (entre 1410 et 1420-1475). ,la vierge et l'enfant école de,,,,,XXIX,
1701,2195 a ,Bouts dierick ou dirk, (entre 1410 et 1420-1475). ,la vierge et l'enfant attribué,,,,,XXIX,
1702,2196 ,Bouts dierick ou dirk, (entre 1410 et 1420-1475). ,la déposition du christ,,,,,XXIX,
1703,1906 ,Brill paul, (1554-1626). ,paysage la chasse au daim autrefois attribué à mathys brill,,,,N,IV,
1704,1907 ,Brill paul, (1554-1626). ,paysage  la chasse au cerf autrefois attribué à mathys brill,,,,N,IV,
1705,1908 ,Brill paul, (1554-1626). ,paysage  la chasse aux canards,,,,N,IV,
1706,1909 ,Brill paul, (1554-1626). ,paysage diane et ses nymphes,,,,N,IV,
1707,1910 ,Brill paul, (1554-1626). ,paysage les pêcheurs,,,,,XXXIV,
1708,1911 ,Brill paul, (1554-1626). ,paysage pan et syrinx les figures sont attribuées à a carrache ou au josépin,,,,,XXXIV,
1709,1912 ,Brouwer ou brauwer adriaen, (1605 ou 1 606- 1638). ,intérieur de tabagie,29.0,22.0,https://upload.wikimedia.org/wikipedia/commons/5/58/Adriaen_Brouwer%2C_Tobacco_Inn.jpg,,XXXIV,data/images_paintings/1709.jpg
1710,1917 ,Bruegel ou brueghel peeter, 1528-1569). ,les mendiants de la «confrérie des ribauds»,,,,,XXX,
1711,1917 a ,Bruegel ou brueghel peeter, 1528-1569). ,la parabole des aveugles d'après,,,,,XXX,
1712,1917 b ,Bruegel ou brueghel peeter, 1528-1569). ,cour de ferme par une matinée d'hiver,,,,,XXX,
1713,1919 ,Brueghel jan, (1568-1625— ,la terre ou le paradis terrestre figures attribuées à hendrik van baleni,,,,,XXXIV,
1714,1920 ,Brueghel jan, (1568-1625— ,l'air ou l'optique,,,,,XXXIV,
1715,1921 ,Brueghel jan, (1568-1625). ,la bataille d'arbelles,,,,,XXXIV,
1716,1922 ,Brueghel jan, (1568-1625). ,vue de tivoli attribué,,,,,XXXIV,
1717,1923 ,Brueghel jan, (1568-1625). ,la rencontre près du moulin attribué ,,,,,XXXIV,
1718,1924 ,Brueghel jan, (1568-1625). ,le débarquement,20.0,14.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE003287/03-011079.jpg,,XXXIV,data/images_paintings/1718.jpg
1719,1925 ,Brueghel jan, (1568-1625). ,le pont de talavera,28.0,20.5,https://upload.wikimedia.org/wikipedia/commons/c/c3/Jan_Brueghel_%28I%29_-_The_Bridge_of_Talavera.jpg,,XXXV,data/images_paintings/1719.jpg
1720,1926 ,Brueghel jan, (1568-1625). ,le paysage au moulin à vent,,,,,XXXV,
1721,1927 ,Champaigne philippe de, 1602-1671 - ,le repas chez simon le pharisien,399.0,292.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000366/99-014939.jpg,S,VI tr E,data/images_paintings/1721.jpg
1722,1933 ,Champaigne philippe de, (1602-1674). ,l'apôtre saint philippe,89.0,117.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000375/12-548150.jpg,,XII,data/images_paintings/1722.jpg
1723,1934 ,Champaigne philippe de, (1602-1674). ,portrait de la mère catherine agnès arnaud et de sœur catherine de sainte suzanne fille de philippe de champaigne,,,,S,XIV,
1724,1937 ,Champaigne philippe de, (1602-1674). ,louis xiii couronné par la victoire,175.0,228.5,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Louis_XIII_couronn%C3%A9_par_la_Victoire_by_Philippe_de_Champaigne_Louvre_INV_1135_n02.jpg/1200px-Louis_XIII_couronn%C3%A9_par_la_Victoire_by_Philippe_de_Champaigne_Louvre_INV_1135_n02.jpg,O,XIV,data/images_paintings/1724.jpg
1725,1938 ,Champaigne philippe de, (1602-1674). ,portrait en pied du cardinal de richelieu,,,,O,XIV,
1726,1939 ,Champaigne philippe de, (1602-1674). ,portrait d'homme peut être arnaud de luzancy,,,,,XII,
1727,1939 a ,Champaigne philippe de, (1602-1674). ,i ortrait de le maistre de sacy attribué,,,,,XXXIV,
1728,1940 ,Champaigne philippe de, (1602-1674). ,portrait d'homme peut être etienne delafons conseiller d'etat,,,,,XII,
1729,1941 ,Champaigne philippe de, (1602-1674). ,portrait présumé de la fille de l'artiste,,,,,XII,
1730,1942 ,Champaigne philippe de, (1602-1674). ,portrait d'une jeune fille de cinq à six ans,,,,,XII,
1731,1943 ,Champaigne philippe de, (1602-1674). ,portrait de femme inconnue,,,,,XII,
1732,1944 ,Champaigne philippe de, (1602-1674). ,portraits dits de françois mansard et de claude perrault architectes,,,,,XII,
1733,1945 ,Champaigne philippe de, (1602-1674). ,le prévôt des marchands jérôme le féron et les échevins de la ville de paris vers 1649,,,,E,I,
1734,1946 ,Champaigne philippe de, (1602-1674). ,portrait dit de jean antoine de mesme président à mortier au parlement de paris,,,,E,I,
1735,1947 ,Champaigne philippe de, (1602-1674). ,son portrait par lui même attribué peut être par jean baptiste de champaigne,,,,,XII,
1736,S N ,Champaigne philippe de, (1602-1674). ,portrait supposé du duc de roannez,,,,,XII,
1737,S N ,Champaigne philippe de, (1602-1674). ,portrait d'angélique arnauld abbesse de portroyal d'après,,,,,XII,
1738,S N ,Champaigne philippe de, (1602-1674). ,portrait de louis xill attribué,,,,,S de la Colonnade,
1739,1952 ,Cocx ou coques gonzalès, (1618-1684). ,la famille,,,,,Musée Charles X S III,
1740,1952 e ,Cossiers jan, 11600-1671). ,les fumeurs,,,,,XVII,
1741,1953 ,Crayer gaspar de, (1584-1669). ,saint augustin en extase,,,,,XVII,
1742,1957 ,David gérard, (vers 1460-1523). ,les noces de cana,128.0,100.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Gerard_david%2C_nozze_di_cana%2C_1495-1500_ca..JPG/1200px-Gerard_david%2C_nozze_di_cana%2C_1495-1500_ca..JPG,,XXX,data/images_paintings/1742.jpg
1743,2202 b ,David gérard, (vers 1460-1523). ,triptyque la vierge et l'enfant jésus le donateur jan de sedano et son fils sous la protection de saint jean baptiste la femme du donateur accompagnée de saint jean l'evangéliste — revers  adam et eve xxix,,,,,XXX,
1744,1958 ,Diepenbeeck abraham van, (1596-1675). ,clélie passant le tibre et emmenant avec elle ses compagnes,,,,,XXXIV,
1745,1960 ,Duchâtel françois," (1625, ou peut-être 1616-1694, ou peut-être 1679). ",portrait d'un cavalier et de deux autres personnages,,,,,XVII,
1746,1961 ,Dyck anthonis van, (1599-1641). ,la vierge et l'enfant avec les trois repentants,,,,,XVII,
1747,1962 ,Dyck anthonis van, (1599-1641). ,la vierge aux donateurs,191.0,250.0,https://upload.wikimedia.org/wikipedia/commons/d/d6/Anthony_van_Dyck_-_Virgin_with_Donors_-_WGA07448.jpg,,XVII,data/images_paintings/1747.jpg
1748,1963 ,Dyck anthonis van, (1599-1641). ,le christ pleuré par la vierge et par les anges,,,,,XVII,
1749,1964 ,Dyck anthonis van, (1599-1641). ,saint sébastien secouru par les anges,145.0,198.0,https://upload.wikimedia.org/wikipedia/commons/f/ff/Anthony_van_Dyck_-_Saint_Sebastian_with_Angels%2C_Louvre.jpg,N,VI tr E,data/images_paintings/1749.jpg
1750,1965 ,Dyck anthonis van, (1599-1641). ,vénus demandant à vulcain des armes pour enée,,,,N,VI tr E,
1751,1966 ,Dyck anthonis van, (i599-i64i). ,renaud et armide,109.0,133.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE003315/16-566894.jpg,,XVII,data/images_paintings/1751.jpg
1752,1972 ,Dyck anthonis van, (1599-1641). ,portrait en buste de françois de moncade,,,,S,VI tr E,
1753,1973 ,Dyck anthonis van, (1599-1641). ,portraits d'un homme de qualité et de sa fille,,,,,XVII,
1754,1974 ,Dyck anthonis van, (1599-1641). ,portraits d'une dame et de sa fille,136.0,204.0,https://upload.wikimedia.org/wikipedia/commons/d/da/Antoon_van_Dyck_-_Portet_van_een_voorname_dame_met_haar_dochter.jpg,,XVII,data/images_paintings/1754.jpg
1755,1975 ,Dyck anthonis van, (1599-1641). ,portrait du duc de richmond et lenox avec les attributs de pâris,,,,,XVII,
1756,1976 ,Dyck anthonis van, (1599-1641). ,le gentilhomme à l'épée ' ,92.0,113.7,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE003324/89-002346-01.jpg,S,VI tr E,data/images_paintings/1756.jpg
1757,1977 ,Dyck anthonis van, (1599-1641). ,portrait d'homme au pourpoint entr'ouvert,,,,,XVII,
1758,1978 ,Dyck anthonis van, (1599-1641). ,portrait d'homme attribué,,,,,XVII,
1759,1979 ,Dyck anthonis van, (1599-1641). ,tête de vieillard ,40.0,51.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE008806/13-528966.jpg,,XXXV,data/images_paintings/1759.jpg
1760,1981 ,Dyck anthonis van, (1599-1641). ,le martyre de saint sébastien,41.0,64.5,https://upload.wikimedia.org/wikipedia/commons/1/18/Anthony_van_Dyck_-_Study_for_Saint_Sebastian_m503604_97de25208_p.jpg,,XXXV,data/images_paintings/1760.jpg
1761,1982 ,Dyck anthonis van, (1599-1641). ,portrait de femme peut être béatrice de cusance,,,,,XXXV,
1762,1983 ,Dyck anthonis van, (1599-1641). ,son portrait par lui même,,,,S,VI tr E,data/images_paintings/1762.jpg
1763,1984 ,Dyck anthonis van, (1599-1641). ,portrait d'homme iécole de,,,,S,I,
1764,1985 ,Dyck anthonis van, (1599-1641). ,portraits dits à tort de jean crusset richardot président du conseil privé des pays bas et de son fils peint par van dyck dans sa jeunesse ,,,,S,VI tr E,
1765,S N ,Dyck anthonis van, (1599-1641). ,portraits de rubens et de van dyck,74.0,58.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Fiandre%2C_ritratti_di_van_dyck_e_rubens%2C_1650-1700_ca..JPG/1200px-Fiandre%2C_ritratti_di_van_dyck_e_rubens%2C_1650-1700_ca..JPG,,Coll Schlichting,data/images_paintings/1765.jpg
1766,S N ,Dyck anthonis van, (1599-1641). ,portrait de sir john strode of parnham dorset attribué,,,,,Coll Schlichting,
1767,1990 ,Franck ou francken frans, i 1581-1642 — ,la parabole de l'enfant prodigue o,,,,,XXXIV,
1768,1991 ,Franck ou francken frans, i 1581-1642 — ,la passion    o,,,,,XXXIV,
1769,1991 a ,Franck ou francken frans, i 1581-1642 — ,ulysse reconnaissant parmi les filles de lycomède achille déguisé en femme,,,,,XXXIV,
1770,1994 ,Fyt jan ou johannes, (161 r-i661 ). ,un chien dévorant du gibier,,,,,XVII,
1771,1995 ,Fyt jan ou johannes, (161 r-i661 ). ,gibier et attirail de chasse,,,,,XXXV,
1772,1918 ,Gysels peter, (1621-1690). ,l'hôtellerie de village attribué,,,,,XXXIV,
1773,1918 a ,Gysels peter, (1621-1690). ,la ronde de paysans attribué,,,,,XXXIV,
1774,2001 ,Hemessen jan sanders, (vers 1504- entre 1555 et 1566). ,le jeune tobie rend la vue à son père xxx voir aussi monogrammiste du,,,,,Musée de Brunswick,
1775,2005 ,Huysmans cornélis, (16/18-1727). ,lisière de forêt paysans et chasseurs,,,,,XVII,
1776,2006 ,Huysmans cornélis, (16/18-1727). ,paysage,47.0,37.5,https://upload.wikimedia.org/wikipedia/commons/5/55/Cornelis_Huysmans_-_Landscape_with_a_ruin_-_shepherds_and_herds_at_the_creek.jpg,,XXXIV,data/images_paintings/1776.jpg
1777,2011 ,Jordaens jacob, (1593-1678). ,jésus chassant les vendeurs du temple o,,,,,XVII,
1778,2011 a ,Jordaens jacob, (1593-1678). ,le jugement dernier,300.0,391.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Jugement_dernier_Jacob_Jordaens.JPG/1200px-Jugement_dernier_Jacob_Jordaens.JPG,,XXXV,data/images_paintings/1778.jpg
1779,2012 ,Jordaens jacob, (1593-1678). ,les quatre évangélistes,118.0,134.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Jakob_Jordaens_002.jpg/1200px-Jakob_Jordaens_002.jpg,N,VI tr E,data/images_paintings/1779.jpg
1780,2013 ,Jordaens jacob, (1593-1678). ,jupiter enfant nourri par la chèvre amalthée,203.0,147.0,https://upload.wikimedia.org/wikipedia/commons/b/b7/Jakob_Jordaens_006.jpg,S,VI tr E,data/images_paintings/1780.jpg
1781,2014 ,Jordaens jacob, (1593-1678). ,le roi boit,204.0,152.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Jordaens_King_Drinks_1638-40.jpg/1200px-Jordaens_King_Drinks_1638-40.jpg,N,VI tr E,data/images_paintings/1781.jpg
1782,2367 ,Lely pieter van der faes, (1618-1680). ,méléagre présentant à atalante la hure du sanglier de calydon,,,,,XXVII,
1783,2203 b ,Maître des figures de femmes à mi corps, (travaillait vers 1540). ,jeune femme lisant,,,,,XXXI,
1784,2202 ,Maître de flémalle, (travaillait entre 1420 et 1460). ,la salutation angélique ecole du,,,,,XXIX,
1785,2018 a ,Maître de la mort de marie, (première moitié du XV lme siècle). ,le christ descendu de la croix — saint françois d'assise recevant les stigniates,,,,,Musée Charles X S III,data/images_paintings/1785.jpg
1786,2026 ,Memlig 22u2 lialtkt de flemallfc ëcole du, 2024-25 ,memling hans vers 1430 1494,,,,,Musée Charles X S III,
1787,2026 ,Memlig 22u2 lialtkt de flemallfc ëcole du, 2024-25 ,la vierge et l'enfant jésus adorés par des donateurs dite «la vierge de jacques floreins»,,,,,V,
1788,2027 ,Memlig 22u2 lialtkt de flemallfc ëcole du, 2024-25 ,mariage mystique de sainte catherine d'alexandrie      ,,,,,XXIX,data/images_paintings/1788.jpg
1789,2027 a ,Memlig 22u2 lialtkt de flemallfc ëcole du, 2024-25 ,donateur en prière sous la protection de saint j eanbaptiste  o,,,,,XXIX,
1790,2028 ,Memlig 22u2 lialtkt de flemallfc ëcole du, 2024-25 ,triptyque martyre de saint sébastien la résurrection du christ l'ascension,,,,,XXIX,
1791,2028 a ,Memlig 22u2 lialtkt de flemallfc ëcole du, 2024-25 ,etude de tête,,,,,XXIX,
1792,2028 b ,Memlig 22u2 lialtkt de flemallfc ëcole du, 2024-25 ,portrait de femme âgée volet droit d'un diptyque,,,,,XXIX,
1793,2029 ,Metsys massys ou matsys, (1466-1530). ,le prêteur et sa femme,,,,,XXX,data/images_paintings/1793.jpg
1794,2030 a ,Metsys massys ou matsys, (1466-1530). ,la vierge et l'enfant jésus,,,,,XXX,
1795,2203 ,Metsys massys ou matsys, (1466-1530). ,le christ mort sur les genoux de la vierge attribué ,,,,,XXX,
1796,2037 ,Meulen adam frans van der, (1632-1690). ,défaite de l'armée espagnole près du canal de bruges août 1667,,,,N,VI tr E,
1797,2039 ,Meulen adam frans van der, (1632-1690). ,passage du rhin 12 juin i6y2't,,,,N,VI tr E,
1798,2040 ,Meulen adam frans van der, (1632-1690). ,arrivée du roi louis xiv au camp devant maëstricht en 1673,,,,S,XIV,
1799,2042 ,Meulen adam frans van der, (1632-1690). ,valenciennes prise d'assaut par louis xiv en 1677,,,,S,XIV,
1800,2045 ,Meulen adam frans van der, (1632-1690). ,vue du château de vincennes du côté du parc départ de louis xiv pour la chasse,,,,N,VI tr E,
1801,2047 ,Meulen adam frans van der, (1632-1690). ,combat de cavalerie au passage d'un pont,31.5,23.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002808/96de14005.jpg,,XXXIV,data/images_paintings/1801.jpg
1802,2048 ,Meulen adam frans van der, (1632-1690). ,combat de cavalerie près d'un pont,,,,,XXXIV,
1803,2049 ,Meulen adam frans van der, (1632-1690). ,convoi militaire escorté,,,,,XXXIV,
1804,2050 ,Meulen adam frans van der, (1632-1690). ,halte de cavaliers o,,,,,XXXIV,
1805,2019 ,Miel jan, (vers 1509-166.1). ,le mendiant,25.5,15.0,https://upload.wikimedia.org/wikipedia/commons/3/3e/Jan_Miel_-_The_beggar.JPG,,XXXIV,data/images_paintings/1805.jpg
1806,2054 ,Mol peeter van, (1599-1650). ,les apprêts de la mise au tombeau,,,,N,VI tr E,
1807,2055 ,Mol peeter van, (1599-1650). ,le jeune homme coiffé d'une mitre,,,,,XXXV,
1808,2206 b ,Momper le jeune jodocus ou joos de, 11561-1635). ,paysage montagneux,156.0,135.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Joos_de_momper%2C_paesaggio_montano_con_quattro_cavalieri%2C_fine_XVI-inizio_XVII_sec.JPG/1200px-Joos_de_momper%2C_paesaggio_montano_con_quattro_cavalieri%2C_fine_XVI-inizio_XVII_sec.JPG,,XXX,data/images_paintings/1808.jpg
1809,2063 ,Neeffs peeter, (vers 1578-1650 ou 1656). ,intérieur d'église après l'office figures attribuées à d teniers,,,,,XXXIV,
1810,S No ,Neeffs peeter, (vers 1578-1650 ou 1656). ,intérieur d'église,9.0,6.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE003410/98ce12001.jpg,,Coll Thiers,data/images_paintings/1810.jpg
1811,2067 ,Oost jacques van, (1601-1671). ,saint charles borromée communiant les pestiférés à milan en 1 576,,,,,XIX,
1812,2067 a ,"Orley bernard ""d""", (vers 149:;- i S42). ,sainte famille,,,,,XXX,
1813,544 ,Pourbus frans, (1=169 ou 15 70-1622). ,pierre camus évêque de belley montant à l'autel autrefois attribué à le nain,,,,,XII,
1814,2068 ,Pourbus frans, (1=169 ou 15 70-1622). ,la cène,370.0,287.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Frans_Pourbus_%28II%29_-_The_Last_Supper_-_WGA18238.jpg/1200px-Frans_Pourbus_%28II%29_-_The_Last_Supper_-_WGA18238.jpg,S,VI tr E,data/images_paintings/1814.jpg
1815,2069 ,Pourbus frans, (1=169 ou 15 70-1622). ,saint françois d'assise recevant les stigmates,162.0,227.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE008751/p0006872-001.jpg,N,VI tr E,data/images_paintings/1815.jpg
1816,2070 ,Pourbus frans, (1=169 ou 15 70-1622). ,portrait d'henri iv roi de france en armure,,,,,XII,
1817,2071 ,Pourbus frans, (1=169 ou 15 70-1622). ,portrait d'henri iv roi de france,,,,,XII,
1818,2072 ,Pourbus frans, (1=169 ou 15 70-1622). ,portrait de marie de médicis reine de france,186.0,307.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/0_Marie_de_M%C3%A9dicis_-_Frans_Pourbus_le_Jeune_-_Louvre_%28INV1710%29_-_%281%29.JPG/1200px-0_Marie_de_M%C3%A9dicis_-_Frans_Pourbus_le_Jeune_-_Louvre_%28INV1710%29_-_%281%29.JPG,,XII,data/images_paintings/1818.jpg
1819,2074 ,Pourbus frans, (1=169 ou 15 70-1622). ,portrait de guillaume du vair garde des sceaux de france sous louis xiii,,,,,XII,
1820,2017 ,Rubens petrus paulus," ( 1 =,77-1640). ",le festin des dieux ecole de autrefois attribué à jacob jordaens,,,,E,I,
1821,2075 ,Rubens petrus paulus," ( 1 =,77-1640). ",la famille de loth quittant sodomc,,,,S,VI tr E,data/images_paintings/1821.jpg
1822,2076 ,Rubens petrus paulus," ( 1 =,77-1640). ",le prophète elie dans le désert par rubens et ses élèves,,,,N,VI tr E,
1823,2077 ,Rubens petrus paulus," ( 1 =,77-1640). ",l'adoration des mages,,,,N,VI tr E,
1824,2079 ,Rubens petrus paulus  i, >77-16401. ,la vierge l'enfant jésus et un ange au milieu d'une guirlande de fleurs par rubens et jan brueghel,,,,,XVII,
1825,2080 ,Rubens petrus paulus  i, >77-16401. ,la fuite en egypte au clair de lune ecole de d'après une composition d'elsheimer,,,,,XXXIV,
1826,2081 ,Rubens petrus paulus  i, >77-16401. ,la résurrection de lazare o,,,,,XXXIV,
1827,2082 ,Rubens petrus paulus  i, >77-16401. ,le christ en croix,,,https://upload.wikimedia.org/wikipedia/commons/4/4a/Spas_vsederzhitel_sinay.jpg,N,VI tr E,data/images_paintings/1827.jpg
1828,2083 ,Rubens petrus paulus  i, >77-16401. ,le triomphe de la religion parrubens et sesélèves,,,,S,VI tr E,
1829,2084 ,Rubens petrus paulus  i, >77-16401. ,thomyris reine des scythes fait plonger la tête de cyrus dans un vase rempli de sang,,,,S,VI tr E,
1830,2085 ,Rubens petrus paulus  i, >77-16401. ,la destinée de marie de médicis,,,,,XVIII,
1831,2086 ,Rubens petrus paulus  i, >77-16401. ,naissance de marie de médicis,,,,,XVII,
