,number,author,life,title,position
1999,S. No ,"Bonington, Richard-Parkes.", (1801-1828). ,L'odalisque aux palmiers. Aqùarelle. A-,II
2000,1806 ,"Constable, John.", (1776-1837). ,Le cottage ,A-I
2001,1807 ,"Constable, John.", (1776-1837). ,L'arc-en-ciel. Vue de Salisbury. (Attribué). ,A-I
2002,1808 ,"Constable, John.", (1776-1837). ,"La baie de Weymouth, à l'approche de l'orage ",A-I
2003,1809 ,"Constable, John.", (1776-1837). ,"Vue de Hampstead Heath, effet d'orage; esquisse ",A-I
2004,1810 ,"Constable, John.", (1776-1837). ,"Paysage: ""The Glebe Farm)). (Attribué) ",A-I
2005,1810 a ,"Constable, John.", (1776-1837). ,Le moulin. (Attribué; peut-être d'après). ,A-I
2006,1810 b ,"Etty, William.", (1787-1849). ,Etude de femme nue dans un paysage. ,A-I
2007,1811 ,"Gainsborough, Thomas.", (1727-1788). ,Trophées de chasse et de pêche. A-,II
2008,1811 a ,"Gainsborough, Thomas.", (1727-1788). ,Paysage; la charrette. (Attribué). ,A-I
2009,1811 b ,"Gainsborough, Thomas.", (1727-1788). ,Paysage; la croix du carrefour. (Attribué) ,A-I
2010,1812 ,"Hodges, Charles Howard.", (1764-1837). ,Portrait de femme. A-,II
2011,1812 a ,"Hoppner, John.", (17 5 8 - 18 10). ,Portrait de la comtesse d'Oxford. A-,II
2012,1812 b ,"Hoppner, John.", (17 5 8 - 18 10). ,"Portraits d'une jeune femme et d'un jeune garçon A-II 181"" a LAWRENCE",S. N° LAWRENCE
2013,1813 ,"Lawrence, Sir Thomas.", (1769-1830). ,"Portrait de lord Whitworth, ambassadeur d'Angleterre en France en 1802, vice-roi d'Irlande, etc. A-",II
2014,S. No ,"Lawrence, Sir Thomas.", (1769-1830). ,"Portrait de Mme Ducrest de Villeneuve, née Sophie Duvaucel. Dessin rehaussé. (Reproduit). ",A-I
2015,1813 a ,"Lawrence, Sir Thomas.", (1769-1830). ,Portrait de Mr John-Julius Angerstein et de sa femme ,A-I
2016,1813 b ,"Lawrence, Sir Thomas.", (1769-1830). ,"Portrait de Mary Palmer, comtesse d'Inchiquin ",A-I
2017,1813 c ,"Lawrence, Sir Thomas.", (1769-1830). ,Portrait d'homme A-,II
2018,1814 ,"Morland, George.", (1763-1804). ,La halte (Attribué). ,A-I
2019,1814 a ,"Morland, George.", (1763-1804). ,Intérieur d'écurie ,A-I
2020,1815 ,"Mulready, William.", (1786-1863). ,L'abreuvoir ,A-I
2021,1816 ,"Opie, John.", (1761-1807;. ,La femme en blanc. (Attr.) A-,II
2022,1817 ,"Reaburn, Sir Henry.", (1756-1823). ,Portrait d'un invalide de la,Marine à Greenwich. (Attribué) A-II
2023,1817 a ,"Reaburn, Sir Henry.", (1756-1823). ,Portrait présumé d'Hannah More. A-,II
2024,1817 b ,"Reaburn, Sir Henry.", (1756-1823). ,Portraits de Mrs Allan Maconochie ofMeadowbank et d'un enfant. (Attribué) A-,II
2025,1817 c ,"Reaburn, Sir Henry.", (1756-1823). ,Portrait du capitaine Robert Hay of Spot. ,A-I
2026,1818 ,"Ramsay, Allan.", (1713-1784). ,"Portrait de CharlotteSophie de Mecklembourg-Strelitz, princesse de Galles. ",A-I
2027,1818 a ,"Reynolds, Sir Joshua.", (I 723 - 1 792). ,Portrait de femme. (Attribué). ,A-I
2028,1818 b ,"Reynolds, Sir Joshua.", (I 723 - 1 792). ,"Portrait de Master Hare (Francis George Hare, cnfant) ",A-I
2029,1818 c ,"Romney,", George.(1734-1802). ,Portrait de Sir John Stanley. ,A-I
2030,1818 d ,"Romney,", George.(1734-1802). ,Portrait de l'artiste. A-,II
2031,S. No ,"Russell, John.", (1745-1806). ,L'enfant aux cerises Pastel. (Reproduit) ,A-I
2032,1819 ,"Turner, Joseph-Mallord-William.", (1775-1851). ,Le Pont-Neuf à Paris (Ecole de) ,A-I
2033,1819 j ,"Turner, Joseph-Mallord-William.", (1775-1851). ,L'estuaire de la Tamise et la Medway. (Attribué). A-,II
2034,1819 b ,"Wilson, Richard.", (171.1-1782). ,Paysage. (Attribué). ,A-I
2036,1901 ,"Arthois, ou Artois, Jacques d'.", (1613-1686). ,Entrée d'un bois. ,XX
2037,1902 ,"Baellieur, Cornelis de.", (1607-1671). ,Une galerie d'objets d'art en 1637 ,XXXIV
2038,S. N° ,"Benson, Ambroise.", (travaillait vers 1519-1545). ,Le concert après le repas (Ecole de) ,XXXI
2039,1903 ,"Bloemen, Jan Frans van, dit Orizonte.", (1662-1740 ou 1748). ,Paysage. ,XXXIV
2040,1903 a ,"Boucquet, Victor.", ('1619-1677). ,Le porte-étendard d'une compagnie d'archers. ,VI tr. E-N
2041,1904 b ,"Bouts, Dierick ou Dirk, dit le vieux", (entre 1410 et 1420-1475). ,La Vierge et l'Enfant (École de) ,XXIX
2042,2195 a ,"Bouts, Dierick ou Dirk, dit le vieux", (entre 1410 et 1420-1475). ,La Vierge et l'Enfant (Attribué) ,XXIX
2043,2196 ,"Bouts, Dierick ou Dirk, dit le vieux", (entre 1410 et 1420-1475). ,La déposition du Christ ,XXIX
2044,1906 ,"Brill, Paul.", (1554-1626). ,Paysage: la chasse au daim. (Autrefois attribué à Mathys Brill) ,IV tr. E-N
2045,1907 ,"Brill, Paul.", (1554-1626). ,Paysage : la chasse au cerf. (Autrefois attribué à Mathys Brill).,IV tr. E-N
2046,1908 ,"Brill, Paul.", (1554-1626). ,Paysage : la chasse aux canards,IV tr. E-N
2047,1909 ,"Brill, Paul.", (1554-1626). ,Paysage: Diane et ses nymphes.,IV tr. E-N
2048,1910 ,"Brill, Paul.", (1554-1626). ,Paysage: les pêcheurs ,XXXIV
2049,1911 ,"Brill, Paul.", (1554-1626). ,Paysage: Pan et Syrinx. (Les figures sont attribuées à A. Carrache ou au Josépin) ,XXXIV
2050,1912 ,"Brouwer ou Brauwer, Adriaen.", (1605 ou 1 606- 1638). ,Intérieur de tabagie ,XXXIV
2055,1917 ,"Bruegel ou Brueghel, Peeter, dit le vieux. 1,1525 ou", 1528-1569). ,Les mendiants de la «Confrérie des Ribauds» ,XXX
2056,1917 a ,"Bruegel ou Brueghel, Peeter, dit le vieux. 1,1525 ou", 1528-1569). ,La parabole des aveugles (D'après). ,XXX
2057,1917 b ,"Bruegel ou Brueghel, Peeter, dit le vieux. 1,1525 ou", 1528-1569). ,"Cour de ferme, par une matinée d'hiver ",XXX
2058,1919 ,"Brueghel, Jan, dit de Velours.", (1568-1625— ,"La terre, ou le Paradis terrestre Figures attribuées à Hendrik van Baleni ",XXXIV
2059,1920 ,"Brueghel, Jan, dit de Velours.", (1568-1625— ,"L'air, ou l'optique ",XXXIV
2061,1921 ,"Brueghel, Jan, dit de Velours.", (1568-1625). ,La bataille d'Arbelles. ,XXXIV
2062,1922 ,"Brueghel, Jan, dit de Velours.", (1568-1625). ,Vue de Tivoli. (Attribué) ,XXXIV
2063,1923 ,"Brueghel, Jan, dit de Velours.", (1568-1625). ,La rencontre près du moulin (Attribué < ,XXXIV
2064,1924 ,"Brueghel, Jan, dit de Velours.", (1568-1625). ,Le débarquement ,XXXIV
2065,1925 ,"Brueghel, Jan, dit de Velours.", (1568-1625). ,Le pont de Talavera. ,XXXV
2066,1926 ,"Brueghel, Jan, dit de Velours.", (1568-1625). ,Le paysage au moulin à vent ,XXXV
2067,1927 ,"Champaigne, Philippe de", 1602-1671 - ,Le repas chez Simon le Pharisien ,VI tr. E-S
2071,1933 ,"Champaigne, Philippe de", (1602-1674). ,L'apôtre Saint Philippe ,XII
2072,1934 ,"Champaigne, Philippe de", (1602-1674). ,"Portrait de la mère Catherine-Agnès Arnaud et de sœur Catherine de Sainte Suzanne, fille de Philippe de Champaigne. ",XIV-S
2073,1937 ,"Champaigne, Philippe de", (1602-1674). ,Louis XIII couronné par la Victoire ,XIV-0
2074,1938 ,"Champaigne, Philippe de", (1602-1674). ,Portrait en pied du cardinal de Richelieu. ,XIV-0
2075,1939 ,"Champaigne, Philippe de", (1602-1674). ,Portrait d'homme (Peut-être Arnaud de Luzancy) ,XII
2076,1939 a ,"Champaigne, Philippe de", (1602-1674). ,I ortrait de Le Maistre de Sacy (Attribué). ,XXXIV
2077,1940 ,"Champaigne, Philippe de", (1602-1674). ,"Portrait d'homme (Peut-être Etienne Delafons, conseiller d'Etat) ",XII
2078,1941 ,"Champaigne, Philippe de", (1602-1674). ,Portrait présumé de la fille de l'artiste ,XII
2079,1942 ,"Champaigne, Philippe de", (1602-1674). ,Portrait d'une jeune fille de cinq à six ans ,XII
2080,1943 ,"Champaigne, Philippe de", (1602-1674). ,Portrait de femme inconnue ,XII
2081,1944 ,"Champaigne, Philippe de", (1602-1674). ,"Portraits dits de François Mansard et de Claude Perrault, architectes ",XII
2082,1945 ,"Champaigne, Philippe de", (1602-1674). ,Le prévôt des marchands Jérôme Le Féron et les échevins de la ville de Paris vers 1649 ,I-E
2083,1946 ,"Champaigne, Philippe de", (1602-1674). ,"Portrait dit de Jean-Antoine de Mesme, président à mortier au Parlement de Paris. ",I-E
2084,1947 ,"Champaigne, Philippe de", (1602-1674). ,Son portrait par lui-même. (Attribué; peut-être par Jean-Baptiste de Champaigne) ,XII
2085,S. N° ,"Champaigne, Philippe de", (1602-1674). ,Portrait supposé du duc de Roannez. ,XII
2086,S. N° ,"Champaigne, Philippe de", (1602-1674). ,"Portrait d'Angélique Arnauld, abbesse de PortRoyal (D'après) ",XII
2087,S. N° ,"Champaigne, Philippe de", (1602-1674). ,Portrait de Louis Xill (Attribué),Ire Salle de la Colonnade
2089,1952 ,"Cocx ou Coques, Gonzalès.", (1618-1684). ,La famille,- van Eyck. XXI
2092,1952 e ,"Cossiers, Jan.", 11600-1671). ,Les fumeurs. ,XVII
2094,1953 ,"Crayer, Gaspar de", (1584-1669). ,Saint Augustin en extase. ,XVII
2096,1957 ,"David, Gérard,", (vers 1460-1523). ,Les noces de Cana ,XXX
2097,2202 b ,"David, Gérard,", (vers 1460-1523). ,"Triptyque: La Vierge et l'Enfant Jésus, le donateur Jan de Sedano et son fils sous la protection de saint Jean-Baptiste, la femme du donateur accompagnée de saint Jean-l'Evangéliste. — Revers : Adam et Eve XXIX",XXX
2098,1958 ,"Diepenbeeck, Abraham van", (1596-1675). ,Clélie passant le Tibre et emmenant avec elle ses compagnes. ,XXXIV
2099,1960 ,"Duchâtel, François."," (1625, ou peut-être 1616-1694, ou peut-être 1679). ",Portrait d'un cavalier et de deux autres personnages. ,XVII
2100,1961 ,"Dyck, Anthonis van", (1599-1641). ,La Vierge et l'Enfant avec les trois repentants. ,XVII
2101,1962 ,"Dyck, Anthonis van", (1599-1641). ,La Vierge aux donateurs ,XVII
2102,1963 ,"Dyck, Anthonis van", (1599-1641). ,Le Christ pleuré par la Vierge et par les anges. ,XVII
2103,1964 ,"Dyck, Anthonis van", (1599-1641). ,Saint Sébastien secouru par les anges ,VI tr. E-N
2104,1965 ,"Dyck, Anthonis van", (1599-1641). ,Vénus demandant à Vulcain des armes pour Enée.,VI tr. E-N
2106,1966 ,"Dyck, Anthonis van", (i599-i64i). ,Renaud et Armide. ,XVII
2111,1972 ,"Dyck, Anthonis van", (1599-1641). ,Portrait en buste de François de Moncade ,VI tr. E-S
2112,1973 ,"Dyck, Anthonis van", (1599-1641). ,Portraits d'un homme de qualité et de sa fille. ,XVII
2113,1974 ,"Dyck, Anthonis van", (1599-1641). ,Portraits d'une dame et de sa fille. ,XVII
2114,1975 ,"Dyck, Anthonis van", (1599-1641). ,Portrait du duc de Richmond et Lenox avec les attributs de Pâris. ,XVII
2115,1976 ,"Dyck, Anthonis van", (1599-1641). ,"Le Gentilhomme à l'épée '-"" ",VI tr. E-S
2116,1977 ,"Dyck, Anthonis van", (1599-1641). ,Portrait d'homme au pourpoint entr'ouvert ,XVII
2117,1978 ,"Dyck, Anthonis van", (1599-1641). ,Portrait d'homme. (Attribué). ,XVII
2118,1979 ,"Dyck, Anthonis van", (1599-1641). ,"Tête de vieillard. , ",XXXV
2119,1981 ,"Dyck, Anthonis van", (1599-1641). ,Le martyre de Saint Sébastien ,XXXV
2120,1982 ,"Dyck, Anthonis van", (1599-1641). ,"Portrait de femme, peut-être Béatrice de Cusance ",XXXV
2121,1983 ,"Dyck, Anthonis van", (1599-1641). ,"Son portrait, par lui-même ",VI tr. E-S
2122,1984 ,"Dyck, Anthonis van", (1599-1641). ,Portrait d'homme. IÉcole de) ,I-S
2123,1985 ,"Dyck, Anthonis van", (1599-1641). ,"Portraits dits à tort de Jean Crusset Richardot, président du Conseil privé des Pays-Bas, et de son fils. (Peint par van Dyck dans sa jeunesse) "" ",VI tr. E-S
2124,"S. N"" ","Dyck, Anthonis van", (1599-1641). ,Portraits de Rubens et de van Dyck,Coll. Schlichting
2125,S. N° ,"Dyck, Anthonis van", (1599-1641). ,Portrait de Sir John Strode of Parnham Dorset (Attribué),Coll. Schlichting
2127,1990 ,"Franck ou Francken, Frans, dit le jeune.", i 1581-1642 — ,La parabole de l'Enfant Prodigue. o. ,XXXIV
2128,1991 ,"Franck ou Francken, Frans, dit le jeune.", i 1581-1642 — ,"La Passion. , , , o. ",XXXIV
2129,1991 a ,"Franck ou Francken, Frans, dit le jeune.", i 1581-1642 — ,"Ulysse reconnaissant, parmi les filles de Lycomède, Achille déguisé en femme ",XXXIV
2130,1994 ,"Fyt, Jan ou Johannes.", (161 r-i661 ). ,Un chien dévorant du gibier ,XVII
2131,1995 ,"Fyt, Jan ou Johannes.", (161 r-i661 ). ,Gibier et attirail de chasse. ,XXXV
2136,1918 ,"Gysels, Peter.", (1621-1690). ,L'Hôtellerie de village. (Attribué) ,XXXIV
2137,1918 a ,"Gysels, Peter.", (1621-1690). ,La ronde de paysans. (Attribué). ,XXXIV
2138,2001 ,"Hemessen, Jan Sanders, dit Jan van", (vers 1504- entre 1555 et 1566). ,Le jeune Tobie rend la vue à son père. XXX Voir aussi: Monogrammiste du,Musée de Brunswick.
2139,2005 ,"Huysmans, Cornélis, dit Huysmans de Malines.", (16/18-1727). ,"Lisière de forêt, paysans et chasseurs. ",XVII
2140,2006 ,"Huysmans, Cornélis, dit Huysmans de Malines.", (16/18-1727). ,Paysage. ,XXXIV
2141,2011 ,"Jordaens, Jacob.", (1593-1678). ,Jésus chassant les vendeurs du temple. o ,XVII
2142,2011 a ,"Jordaens, Jacob.", (1593-1678). ,Le Jugement dernier. ,XXXVI
2143,2012 ,"Jordaens, Jacob.", (1593-1678). ,Les quatre évangélistes ,VI tr. E-N
2144,2013 ,"Jordaens, Jacob.", (1593-1678). ,Jupiter enfant nourri par la chèvre Amalthée ,VI tr. E-S
2145,2014 ,"Jordaens, Jacob.", (1593-1678). ,Le roi boit ,VI tr. E-N
2148,2367 ,"Lely, Pieter van der Faes, dit", (1618-1680). ,Méléagre présentant à Atalante la hure du sanglier de Calydon. ,XXVII
2149,2203 b ,Maître des figures de femmes à mi-corps., (travaillait vers 1540). ,Jeune femme lisant ,XXXI
2150,2202 ,Maître de Flémalle., (travaillait entre 1420 et 1460). ,La Salutation angélique. (Ecole du). ,XXIX
2152,2018 a ,"Maître de la mort de Marie,", (première moitié du XV lme siècle). ,Le Christ descendu de la croix. — Saint François d'Assise recevant les stigniates.,— La Vierge et l'Enfant La Cène. XXXI
2155,2026 ,MEMLIG 22u2 lIAlTKt DE fLEMALLfc (ËCOLE DU), 2024-25 ,"Memling, Hans. (vers 1430-1494).",— Saint Jean-Bap- tiste. Sainte Marie-Madeleine. (Deux volets d'un même triptyque) XXIX
2156,2026 ,MEMLIG 22u2 lIAlTKt DE fLEMALLfc (ËCOLE DU), 2024-25 ,"La Vierge et l'Enfant Jésus adorés par des donateurs, dite «la Vierge de Jacques Floreins». ",V
2157,2027 ,MEMLIG 22u2 lIAlTKt DE fLEMALLfc (ËCOLE DU), 2024-25 ,"Mariage mystique de Sainte Catherine d'Alexandrie. , , , , , , ",XXIX
2158,2027 a ,MEMLIG 22u2 lIAlTKt DE fLEMALLfc (ËCOLE DU), 2024-25 ,"Donateur en prière, sous la protection de saint J eanBaptiste. , O""  ",XXIX
2159,2028 ,MEMLIG 22u2 lIAlTKt DE fLEMALLfc (ËCOLE DU), 2024-25 ,Triptyque: Martyre de Saint Sébastien; La résurrection du Christ; L'Ascension ,XXIX
2160,2028 a ,MEMLIG 22u2 lIAlTKt DE fLEMALLfc (ËCOLE DU), 2024-25 ,Etude de tête. ,XXIX
2161,2028 b ,MEMLIG 22u2 lIAlTKt DE fLEMALLfc (ËCOLE DU), 2024-25 ,Portrait de femme âgée. (Volet droit d'un diptyque). ,XXIX
2163,2029 ,"Metsys, Massys ou Matsys, Quentin ou Quintin.", (1466-1530). ,Le prêteur et sa femme. ,XXX
2164,2030 a ,"Metsys, Massys ou Matsys, Quentin ou Quintin.", (1466-1530). ,La Vierge et l'Enfant Jésus ,XXX
2165,2203 ,"Metsys, Massys ou Matsys, Quentin ou Quintin.", (1466-1530). ,"Le Christ mort sur les genoux de la Vierge. (Attribué) , ",XXX
2166,2037 ,"Meulen, Adam Frans van der", (1632-1690). ,Défaite de l'armée espagnole près du canal de Bruges (Août 1667) ,VI tr. E-N
2167,2039 ,"Meulen, Adam Frans van der", (1632-1690). ,Passage du Rhin (12 juin i6y2't,VI tr. E-N
2168,2040 ,"Meulen, Adam Frans van der", (1632-1690). ,Arrivée du roi Louis XIV au camp devant Maëstricht en 1673 ,XIV-S
2169,2042 ,"Meulen, Adam Frans van der", (1632-1690). ,Valenciennes prise d'assaut par Louis XIV en 1677. ,XIV-S
2170,2045 ,"Meulen, Adam Frans van der", (1632-1690). ,Vue du château de Vincennes du côté du parc (Départ de Louis XIV pour la chasse) ,VI tr. E-N
2171,2047 ,"Meulen, Adam Frans van der", (1632-1690). ,Combat de cavalerie au passage d'un pont ,XXXIV
2172,2048 ,"Meulen, Adam Frans van der", (1632-1690). ,Combat de cavalerie près d'un pont. ,XXXIV
2173,2049 ,"Meulen, Adam Frans van der", (1632-1690). ,Convoi militaire escorté ,XXXIV
2174,2050 ,"Meulen, Adam Frans van der", (1632-1690). ,Halte de cavaliers. o ,XXXIV
2175,2019 ,"Miel, Jan, ou Bike, dit le Cavalier Giovanni Milo ou Della Vita, ou Jamieli.", (vers 1509-166.1). ,Le mendiant ,XXXIV
2177,2054 ,"Mol, Peeter van", (1599-1650). ,Les apprêts de la mise au tombeau ,VI tr. E-N
2178,2055 ,"Mol, Peeter van", (1599-1650). ,Le jeune homme coiffé d'une mitre ,XXXV
2179,2206 b ,"Momper le jeune, Jodocus ou Joos de", 11561-1635). ,Paysage montagneux ,XXX
2182,2063 ,"Neeffs, Peeter, dit le vieux.", (vers 1578-1650 ou 1656). ,Intérieur d'église. Après l'office. (Figures attribuées à D. Teniers) ,XXXIV
2183,S. No ,"Neeffs, Peeter, dit le vieux.", (vers 1578-1650 ou 1656). ,Intérieur d'église,Coll. Thiers
2184,2067 ,"Oost, Jacques van, le vieux.", (1601-1671). ,Saint Charles Borromée communiant les pestiférés à Milan en 1 576 ,XIX
2185,2067 a ,"Orley, Bernard d', dit Barend van Orley.", (vers 149:;- i S42). ,Sainte Famille ,XXX
2186,544 ,"Pourbus, Frans, dit le jeune.", (1=169 ou 15 70-1622). ,"Pierre Camus, évêque de Belley, montant à l'autel (Autrefois-attribué à Le Nain). ",XII
2187,2068 ,"Pourbus, Frans, dit le jeune.", (1=169 ou 15 70-1622). ,La Cène ,VI tr. E-S
2188,2069 ,"Pourbus, Frans, dit le jeune.", (1=169 ou 15 70-1622). ,Saint François d'Assise recevant les stigmates ,VI tr. E-N
2189,2070 ,"Pourbus, Frans, dit le jeune.", (1=169 ou 15 70-1622). ,"Portrait d'Henri IV, roi de France, en armure ",XII
2190,2071 ,"Pourbus, Frans, dit le jeune.", (1=169 ou 15 70-1622). ,"Portrait d'Henri IV, roi de France ",XII
2191,2072 ,"Pourbus, Frans, dit le jeune.", (1=169 ou 15 70-1622). ,"Portrait de Marie de Médicis, reine de France ",XII
2192,2074 ,"Pourbus, Frans, dit le jeune.", (1=169 ou 15 70-1622). ,"Portrait de Guillaume du Vair, garde des sceaux de France, sous Louis XIII. ",XII
2194,2017 ,"Rubens, Petrus-Paulus."," ( 1 =,77-1640). ",Le Festin des Dieux (Ecole de; autrefois attribué à Jacob Jordaens) ,I-E
2195,2075 ,"Rubens, Petrus-Paulus."," ( 1 =,77-1640). ",La famille de Loth quittant Sodomc ,VI tr. E-S
2196,2076 ,"Rubens, Petrus-Paulus."," ( 1 =,77-1640). ",Le prophète Elie dans le désert (Par Rubens et ses élèves). ,VI tr. E-N
2197,2077 ,"Rubens, Petrus-Paulus."," ( 1 =,77-1640). ",L'adoration des mages ,VI tr. E-N
2198,2079 ,"Rubens, Petrus-Paulus. ( i", >77-16401. ,"La Vierge, l'Enfant Jésus et un ange au milieu d'une guirlande de fleurs. (Par Rubens et Jan Brueghel) ",XVII
2199,2080 ,"Rubens, Petrus-Paulus. ( i", >77-16401. ,La fuite en Egypte au clair de lune. (Ecole de. d'après une composition d'Elsheimer\ ,XXXIV
2200,2081 ,"Rubens, Petrus-Paulus. ( i", >77-16401. ,La résurrection de Lazare. o ,XXXIV
2201,2082 ,"Rubens, Petrus-Paulus. ( i", >77-16401. ,Le Christ en croix ,VI tr. E-N
2202,2083 ,"Rubens, Petrus-Paulus. ( i", >77-16401. ,Le triomphe de la religion (ParRubens et sesélèves). ,VI tr. E-S
2203,2084 ,"Rubens, Petrus-Paulus. ( i", >77-16401. ,"Thomyris, reine des Scythes, fait plonger la tête de Cyrus dans un vase rempli de sang ",VI tr. E-S HISTOIRE DE MARIE DE MÉDICIS.
2204,2085 ,"Rubens, Petrus-Paulus. ( i", >77-16401. ,La destinée de Marie de Médicis ,XVIII
2205,2086 ,"Rubens, Petrus-Paulus. ( i", >77-16401. ,Naissance de Marie de Médicis ,XVII
2206,2087 ,"Rubens, Petrus-Paulus.", (1577-16401. ,Education de Marie de Médiciso ,XVII
2207,2088 ,"Rubens, Petrus-Paulus.", (1577-16401. ,Henri IV reçoit le portrait de Marie de Médicis. ,XVIII
2208,2089 ,"Rubens, Petrus-Paulus.", (1577-16401. ,Mariage de Marie de Médicis avec Henri IV ,XVIII
2209,2090 ,"Rubens, Petrus-Paulus.", (1577-16401. ,"Débarquement de Marie de Médicis au port de Marseille, le 3 novembre 1600 O"","" ",XVIII
2210,2091 ,"Rubens, Petrus-Paulus.", (1577-16401. ,"Allégorie sur le mariage de Henri IV avec Marie de Médicis, accompli à Lyon le 17 décembre 1600 o. o ",XVIII
2211,2092 ,"Rubens, Petrus-Paulus.", (1577-16401. ,"Naissance de Louis XIII à Fontainebleau, le 27 septembre 1601 o. o. o ",XVIII
2212,2094 ,"Rubens, Petrus-Paulus.", (1577-1640). ,"Couronnement de Marie de Médicis à Saint-Denis, 13 mai ibio ",XVIII
2213,2095 ,"Rubens, Petrus-Paulus.", (1577-1640). ,"Apothéose de Henri IV; régence de Marie de Médicis. , , , , , , , ",XVIII
2214,2096 ,"Rubens, Petrus-Paulus.", (1577-1640). ,Bienfaits du gouvernement de la reine. ,XVII
2215,2097 ,"Rubens, Petrus-Paulus.", (1577-1640). ,"Voyage de Marie de Médicis au Pont-de-Cé, en Anjou. o. o o. o ",XVIII
2216,2098 ,"Rubens, Petrus-Paulus.", (1577-1640). ,"Echange des deux princesses sur la rivière de Hendaye, le 9 novembre 1615 ",XVIII
2217,2099 ,"Rubens, Petrus-Paulus.", (1577-1640). ,Félicité de la régence. ,XVIII
2218,2100 ,"Rubens, Petrus-Paulus.", (1577-1640). ,Majorité de Louis XIII. ,XVIII
2219,2101 ,"Rubens, Petrus-Paulus.", (1577-1640). ,"La reine s'enfuit du château de Blois, dans la A nuiti'du 21 au 22 février 1619 ",XVIII
2220,2102 ,"Rubens, Petrus-Paulus.", (1^77-1640). ,Réconciliation de Marie de Médicis avec son fils: ,XVIII
2221,2103 ,"Rubens, Petrus-Paulus.", (1^77-1640). ,"La conclusion de la paix. (""50 avril 1619) ",XVIII
2222,2104 ,"Rubens, Petrus-Paulus.", (1^77-1640). ,Entrevue de Marie de Médicis et de son fils. ,XVIII
2223,2105 ,"Rubens, Petrus-Paulus.", (1^77-1640). ,Le triomphe de la Vérité. ,XVIII
2224,2106 ,"Rubens, Petrus-Paulus.", (1^77-1640). ,"Portrait de François de Médicis, grand-duc de Toscane, père de Marie de Médicis. ",XVII
2225,2107 ,"Rubens, Petrus-Paulus.", (1^77-1640). ,"Portrait de Jeanne d'Autriche, grande-duchesse de Toscane, mère de Marie de Médicis ",XVII
2226,2109 ,"Rubens, Petrus-Paulus.", (1577-1640). ,"Portrait de Marie de Médicis, sous les traits de la France (Ecole de) ",XXXV
2227,2110 ,"Rubens, Petrus-Paulus.", (1577-1640). ,Le triomphe de la Vérité et les Parques filant la destinée de Marie de Médicis; esquisse des deux compositions de la,Galerie du Luxem- bourg VI tr. E-S
2228,2111 ,"Rubens, Petrus-Paulus.", (1577-1640). ,"Portrait du baron Henri de Vicq, ambassadeur des Pays-Bas à la Cour de France ",VI tr. E-S
2229,2112 ,"Rubens, Petrus-Paulus.", (1577-1640). ,"Portrait d'Anne d'Autriche, reine de France. (Faussement désigné autrefois sous le nom d'Elisabeth de France, fille de Henri IV) ",VI tr. E-N
2230,2113 ,"Rubens, Petrus-Paulus.", (1577-1640). ,"Portrait d'Hélène Fourment, seconde femme de Rubens, avec son fils François et sa fille Claire-Jeanne. , , , , , , , ",VI tr. E-S
2231,2114 ,"Rubens, Petrus-Paulus.", (1577-1640). ,"Portrait de Suzanne Fourment, sœur de la seconde femme de Rubens. , , ,  o. ",VI tr. E-S
2232,2115 ,"Rubens, Petrus-Paulus.", (1577-1640). ,La kermesse ,VI tr. E-S
2233,2116 ,"Rubens, Petrus-Paulus.", (1577-1640). ,"Tournoi près des fossés d'un château. O"","" ",VI tr. E-S
2234,2117 ,"Rubens, Petrus-Paulus.", (1577-1640). ,Le paysage à l'oiseleur ,VI tr. E-N
2235,2118 ,"Rubens, Petrus-Paulus.", (1577-1640). ,Le paysage à l'arc-en-ciel et au joueur de flûte. ,XVII
2236,2119 ,"Rubens, Petrus-Paulus.", (1577-1640). ,Paysage avec les ruines du Mont Palatin. ,XXXV
2237,2120 ,"Rubens, Petrus-Paulus.", (1577-1640). ,Le sacrifice d'Abraham o. ,XXXV
2238,2121 ,"Rubens, Petrus-Paulus.", (1577-1640). ,MekhisëdecetAbraham ,XXXV
2239,2122 ,"Rubens, Petrus-Paulus.", (1577-1640). ,L'élévation en croix * ,XXXV
2240,2123 ,"Rubens, Petrus-Paulus.", (1577-1640). ,Le couronnement de la Vierge ,XXXV
2241,2125 ,"Rubens, Petrus-Paulus.", (1577-1640). ,"Job tourmenté par les démons. , , , , , ",1-0
2242,2126 ,"Rubens, Petrus-Paulus.", (1577-1640). ,"Génie volant et couronnant la Religion. (Etude pour le plafond de Whilehall, à Londres. ",XXXV
2243,2127 ,"Rubens, Petrus-Paulus.", (1577-1640). ,"Tête d'étude pour la figure du saint Georges dans ^Intercession des Sai nts» du musée de Lyon. , , , , ",XXXV
2244,2128 ,"Rubens, Petrus-Paulus.", (1577-1640). ,Buste de vieillard. (Attribué) ,XXXV
2245,2130 ,"Rubens, Petrus-Paulus.", (1577-1640). ,Diogène cherchant un homme. (Ecole de) ,XVII
2246,2131 ,"Rubens, Petrus-Paulus.", (1577-1640). ,"Le paysage au puits et à l'abreuvoir. Effet de ""', soleil couchant. ",XXXIV
2247,2132 ,"Rubens, Petrus-Paulus.", (1577-1640). ,Portrait de femme jouant du luth. (Ecole de). ,XXXV
2248,2133 ,"Rubens, Petrus-Paulus.", (1577-1640). ,Le sommeil de Diane. (Ecole de) ,XXXV
